collection_id,question_id,answer,total_balance,AGIX
9,64,skip,100000000000,"1,000.00000000"
9,65,skip,100000000000,"1,000.00000000"
9,66,skip,100000000000,"1,000.00000000"
9,67,skip,100000000000,"1,000.00000000"
9,68,skip,100000000000,"1,000.00000000"
9,69,skip,100000000000,"1,000.00000000"
9,70,skip,100000000000,"1,000.00000000"
9,71,skip,100000000000,"1,000.00000000"
9,72,skip,100000000000,"1,000.00000000"
9,73,skip,100000000000,"1,000.00000000"
9,74,skip,100000000000,"1,000.00000000"
9,75,skip,100000000000,"1,000.00000000"
9,76,skip,100000000000,"1,000.00000000"
9,77,skip,100000000000,"1,000.00000000"
9,78,skip,100000000000,"1,000.00000000"
9,79,skip,100000000000,"1,000.00000000"
9,80,skip,100000000000,"1,000.00000000"
9,81,skip,100000000000,"1,000.00000000"
9,82,skip,100000000000,"1,000.00000000"
9,83,skip,100000000000,"1,000.00000000"
9,84,10,100000000000,"1,000.00000000"
9,85,skip,100000000000,"1,000.00000000"
9,86,skip,100000000000,"1,000.00000000"
9,87,skip,100000000000,"1,000.00000000"
9,88,skip,100000000000,"1,000.00000000"
9,89,skip,100000000000,"1,000.00000000"
9,90,skip,100000000000,"1,000.00000000"
9,91,skip,100000000000,"1,000.00000000"
9,92,skip,100000000000,"1,000.00000000"
9,93,skip,100000000000,"1,000.00000000"
9,94,skip,100000000000,"1,000.00000000"
9,95,skip,100000000000,"1,000.00000000"
9,96,skip,100000000000,"1,000.00000000"
9,97,skip,100000000000,"1,000.00000000"
9,98,skip,100000000000,"1,000.00000000"
9,99,skip,100000000000,"1,000.00000000"
9,100,skip,100000000000,"1,000.00000000"
9,102,skip,100000000000,"1,000.00000000"
9,103,skip,100000000000,"1,000.00000000"
25,1,7,7000000000082,"70,000.00000082"
25,2,7,7000000000082,"70,000.00000082"
25,3,10,7000000000082,"70,000.00000082"
25,4,10,7000000000082,"70,000.00000082"
25,5,7,7000000000082,"70,000.00000082"
25,6,7,7000000000082,"70,000.00000082"
25,7,5,7000000000082,"70,000.00000082"
25,8,10,7000000000082,"70,000.00000082"
25,9,10,7000000000082,"70,000.00000082"
25,10,7,7000000000082,"70,000.00000082"
25,11,10,7000000000082,"70,000.00000082"
25,12,7,7000000000082,"70,000.00000082"
25,13,10,7000000000082,"70,000.00000082"
25,14,7,7000000000082,"70,000.00000082"
25,15,7,7000000000082,"70,000.00000082"
25,16,5,7000000000082,"70,000.00000082"
25,17,10,7000000000082,"70,000.00000082"
25,18,10,7000000000082,"70,000.00000082"
25,19,5,7000000000082,"70,000.00000082"
25,20,7,7000000000082,"70,000.00000082"
25,21,5,7000000000082,"70,000.00000082"
25,22,7,7000000000082,"70,000.00000082"
25,23,5,7000000000082,"70,000.00000082"
25,24,10,7000000000082,"70,000.00000082"
25,25,7,7000000000082,"70,000.00000082"
25,26,10,7000000000082,"70,000.00000082"
25,27,7,7000000000082,"70,000.00000082"
25,28,5,7000000000082,"70,000.00000082"
25,29,10,7000000000082,"70,000.00000082"
25,30,10,7000000000082,"70,000.00000082"
25,31,5,7000000000082,"70,000.00000082"
25,32,5,7000000000082,"70,000.00000082"
25,33,10,7000000000082,"70,000.00000082"
25,34,5,7000000000082,"70,000.00000082"
25,35,10,7000000000082,"70,000.00000082"
25,36,10,7000000000082,"70,000.00000082"
25,37,7,7000000000082,"70,000.00000082"
25,38,10,7000000000082,"70,000.00000082"
25,39,5,7000000000082,"70,000.00000082"
25,40,5,7000000000082,"70,000.00000082"
25,41,5,7000000000082,"70,000.00000082"
25,42,5,7000000000082,"70,000.00000082"
25,43,5,7000000000082,"70,000.00000082"
25,44,5,7000000000082,"70,000.00000082"
25,45,10,7000000000082,"70,000.00000082"
25,46,7,7000000000082,"70,000.00000082"
25,47,10,7000000000082,"70,000.00000082"
25,48,10,7000000000082,"70,000.00000082"
25,49,10,7000000000082,"70,000.00000082"
25,50,10,7000000000082,"70,000.00000082"
25,51,5,7000000000082,"70,000.00000082"
25,52,5,7000000000082,"70,000.00000082"
25,53,10,7000000000082,"70,000.00000082"
25,54,10,7000000000082,"70,000.00000082"
25,55,10,7000000000082,"70,000.00000082"
25,56,7,7000000000082,"70,000.00000082"
25,57,7,7000000000082,"70,000.00000082"
25,58,10,7000000000082,"70,000.00000082"
25,59,7,7000000000082,"70,000.00000082"
25,60,5,7000000000082,"70,000.00000082"
25,61,8,7000000000082,"70,000.00000082"
25,62,10,7000000000082,"70,000.00000082"
25,63,8,7000000000082,"70,000.00000082"
25,104,10,7000000000082,"70,000.00000082"
25,105,7,7000000000082,"70,000.00000082"
25,106,5,7000000000082,"70,000.00000082"
25,107,skip,7000000000082,"70,000.00000082"
25,108,7,7000000000082,"70,000.00000082"
25,109,5,7000000000082,"70,000.00000082"
25,110,10,7000000000082,"70,000.00000082"
25,111,5,7000000000082,"70,000.00000082"
25,112,7,7000000000082,"70,000.00000082"
25,113,5,7000000000082,"70,000.00000082"
25,114,7,7000000000082,"70,000.00000082"
25,115,7,7000000000082,"70,000.00000082"
25,116,10,7000000000082,"70,000.00000082"
25,117,10,7000000000082,"70,000.00000082"
25,118,10,7000000000082,"70,000.00000082"
34,104,skip,10200000000,102.00000000
34,105,skip,10200000000,102.00000000
34,106,skip,10200000000,102.00000000
34,107,skip,10200000000,102.00000000
34,108,skip,10200000000,102.00000000
34,109,10,10200000000,102.00000000
34,110,skip,10200000000,102.00000000
34,111,skip,10200000000,102.00000000
34,112,skip,10200000000,102.00000000
34,113,skip,10200000000,102.00000000
34,114,skip,10200000000,102.00000000
34,115,skip,10200000000,102.00000000
34,116,skip,10200000000,102.00000000
34,117,skip,10200000000,102.00000000
34,118,skip,10200000000,102.00000000
58,1,4,329940460413,"3,299.40460413"
58,2,4,329940460413,"3,299.40460413"
58,3,3,329940460413,"3,299.40460413"
58,4,5,329940460413,"3,299.40460413"
58,5,5,329940460413,"3,299.40460413"
58,6,7,329940460413,"3,299.40460413"
58,7,6,329940460413,"3,299.40460413"
58,8,4,329940460413,"3,299.40460413"
58,9,8,329940460413,"3,299.40460413"
58,10,8,329940460413,"3,299.40460413"
58,11,10,329940460413,"3,299.40460413"
58,12,5,329940460413,"3,299.40460413"
